Name,Team,,BB%,K%,OPS,ISO,BABIP,Spd,LD%,GB%,FB%,HR/FB,Hard%,H,HR,R,RBI,BB,SB,G,2B,3B,CS,AB,O-Swing%,O-Contact%,NameASCII,PlayerId,MLBAMID
"Ezequiel Duran","TEX",,0.052391799,0.273348519,0.767550666,0.167487685,0.357664233,4.7261555403710815,0.22027972,0.395104895,0.384615384,0.127272727,0.3356,112,14,55,46,23,8,122,22,2,4,406,0.4093,0.6238,"Ezequiel Duran",23733,677649
"Mike Moustakas","- - -",,0.059585492,0.246113989,0.684791567,0.144886364,0.296442687,1.4948979525000001,0.211320754,0.339622641,0.449056603,0.100840336,0.3283,87,12,43,48,23,0,112,15,0,0,352,0.3758,0.6226,"Mike Moustakas",4892,519058
"Pavin Smith","ARI",,0.153508771,0.197368421,0.641787945,0.136125654,0.208633093,2.1841593867326545,0.191780821,0.431506849,0.376712328,0.127272727,0.3493,36,7,26,30,35,1,69,5,0,1,191,0.2572,0.6224,"Pavin Smith",19892,656976
"Yainer Diaz","HOU",,0.029177718,0.196286472,0.845720476,0.256338029,0.291666666,1.5064935025000001,0.202090592,0.432055749,0.365853658,0.219047619,0.3833,100,23,51,60,11,0,104,22,0,0,355,0.4641,0.6223,"Yainer Diaz",23003,673237
"AJ Pollock","- - -",,0.0625,0.222222222,0.523548453,0.142857143,0.173469387,2.5402772760343098,0.106796116,0.485436893,0.40776699,0.119047619,0.3398,22,5,15,15,9,0,54,4,0,1,133,0.3872,0.622,"AJ Pollock",9256,572041
"Edward Olivares","KCR",,0.057142857,0.166233766,0.768860517,0.189265537,0.289285714,6.041191241575664,0.174657534,0.428082191,0.397260273,0.103448275,0.3219,93,12,47,36,22,11,107,23,4,5,354,0.3436,0.6214,"Edward Olivares",19698,658668
"Connor Joe","PIT",,0.105932203,0.233050847,0.760290556,0.174334141,0.310580204,4.411111422111919,0.228476821,0.360927152,0.410596026,0.088709677,0.3553,102,11,63,42,50,3,133,31,4,5,413,0.2376,0.6213,"Connor Joe",16572,656582
"Spencer Torkelson","DET",,0.097953216,0.25,0.758410051,0.212871287,0.268948655,3.3303179623861574,0.186363636,0.345454545,0.468181818,0.150485436,0.3977,141,31,88,94,67,3,159,34,1,0,606,0.2772,0.621,"Spencer Torkelson",27465,679529
"Evan Longoria","ARI",,0.097046413,0.308016877,0.717159596,0.199052132,0.276923076,1.00090798375,0.191489361,0.382978723,0.425531914,0.183333333,0.383,47,11,25,28,23,0,74,9,0,0,211,0.304,0.6205,"Evan Longoria",9368,446334
"Leody Taveras","TEX",,0.063176895,0.211191335,0.732903348,0.154598825,0.317708333,5.278687107338904,0.221105527,0.442211055,0.336683417,0.104477611,0.3167,136,14,67,67,35,14,143,31,3,4,511,0.3231,0.6205,"Leody Taveras",18900,665750
"Garrett Stubbs","PHI",,0.072,0.232,0.557379388,0.079646017,0.26506024,6.48329742650108,0.121621621,0.378378378,0.5,0.027027027,0.1294,23,1,15,12,9,2,41,4,1,0,113,0.2979,0.619,"Garrett Stubbs",18067,596117
"William Contreras","MIL",,0.103109656,0.206219312,0.824620521,0.168518519,0.348370927,3.954566041017741,0.161057692,0.550480769,0.288461538,0.141666666,0.3573,156,17,86,78,63,6,141,38,1,1,540,0.2793,0.6189,"William Contreras",20503,661388
"Miguel Amaya","CHC",,0.076923076,0.256410256,0.687810883,0.145038167,0.264367816,1.6607142775000001,0.186813186,0.34065934,0.472527472,0.116279069,0.2688,28,5,17,18,12,0,53,4,0,0,131,0.3134,0.6182,"Miguel Amaya",21693,665804
"Brett Wisely","SFG",,0.06870229,0.305343511,0.497435896,0.091666666,0.240506329,3.3821048466341557,0.233766233,0.376623376,0.389610389,0.066666666,0.2439,21,2,10,8,9,2,51,5,0,1,120,0.3595,0.6182,"Brett Wisely",27735,689172
"Nick Ahmed","ARI",,0.057142857,0.247619047,0.56017316,0.090909091,0.277777777,4.763425156076387,0.25,0.409722222,0.340277777,0.040816326,0.3082,42,2,14,17,12,5,72,10,1,1,198,0.341,0.6174,"Nick Ahmed",12147,605113
"Parker Meadows","DET",,0.117241379,0.255172413,0.699034482,0.136,0.302325581,8.042279707205411,0.227272727,0.352272727,0.420454545,0.081081081,0.3371,29,3,19,13,17,8,37,4,2,1,125,0.2733,0.617,"Parker Meadows",23800,678009
"Austin Hedges","- - -",,0.051886792,0.221698113,0.460857872,0.043243244,0.235714285,2.7589282189058126,0.2,0.421428571,0.378571428,0.018867924,0.3046,34,1,14,16,11,1,82,5,0,0,185,0.359,0.6169,"Austin Hedges",12976,595978
"Luke Maile","CIN",,0.070351758,0.246231155,0.69914226,0.156424581,0.29032258,2.5420440512540248,0.193798449,0.426356589,0.379844961,0.122448979,0.3282,42,6,17,25,14,2,78,10,0,1,179,0.2915,0.6154,"Luke Maile",13355,571912
"Cade Marlowe","SEA",,0.12,0.33,0.750454545,0.181818182,0.346153846,7.055837077429342,0.2,0.29090909,0.509090909,0.107142857,0.3273,21,3,14,11,12,4,34,3,2,2,88,0.325,0.6154,"Cade Marlowe",25505,687799
"Harold Ramírez","TBR",,0.050691244,0.182027649,0.812534562,0.1475,0.358730158,4.195046693105249,0.165137614,0.547400611,0.287461773,0.127659574,0.2905,125,12,58,68,22,5,122,19,2,3,400,0.4762,0.6139,"Harold Ramirez",14387,623912
"Dansby Swanson","CHC",,0.103448275,0.24137931,0.743515409,0.171681416,0.296675191,4.805354767339319,0.20338983,0.445520581,0.351089588,0.151724137,0.3511,138,22,81,80,66,9,147,25,3,1,565,0.2837,0.6134,"Dansby Swanson",18314,621020
"Garrett Hampson","MIA",,0.091269841,0.265873015,0.729488087,0.104072398,0.379084967,5.36883836123128,0.24,0.426666666,0.333333333,0.06,0.2704,61,3,30,23,23,5,98,12,1,0,221,0.2914,0.6125,"Garrett Hampson",19262,641658
"Jake Cave","PHI",,0.073891625,0.27093596,0.620103313,0.135869565,0.269841269,5.0007611463514685,0.198473282,0.389312977,0.41221374,0.092592592,0.3182,39,5,18,21,15,3,65,8,1,0,184,0.3305,0.6115,"Jake Cave",14477,595909
"Kris Bryant","COL",,0.086567164,0.202985074,0.680099501,0.133333333,0.27027027,1.3436998337500001,0.228448275,0.383620689,0.387931034,0.111111111,0.3276,70,10,36,31,29,0,80,10,0,0,300,0.2895,0.6114,"Kris Bryant",15429,592178
"Esteury Ruiz","OAK",,0.040241448,0.199195171,0.653853556,0.091314031,0.315028901,6.4592048011849545,0.221238938,0.480825958,0.297935103,0.04950495,0.1662,114,5,47,47,20,67,132,24,1,13,449,0.3593,0.6113,"Esteury Ruiz",21780,665923
