Name,Team,,BB%,K%,OPS,ISO,BABIP,Spd,LD%,GB%,FB%,HR/FB,Hard%,H,HR,R,RBI,BB,SB,G,2B,3B,CS,AB,O-Swing%,O-Contact%,NameASCII,PlayerId,MLBAMID
"Khris Davis","- - -",,0.087719298,0.271929824,0.634674922,0.156862746,0.257142857,3.05357142125,0.136986301,0.465753424,0.397260273,0.103448275,0.3425,21,3,11,10,10,0,42,5,1,0,102,0.2934,0.5789,"Khris Davis",9112,501981
"Kyle Seager","SEA",,0.088059701,0.240298507,0.722885571,0.225538972,0.226277372,2.771066831802937,0.173814898,0.32054176,0.50564334,0.15625,0.3677,128,35,73,101,59,3,159,29,1,1,603,0.3296,0.5789,"Kyle Seager",9785,572122
"Adam Duvall","- - -",,0.063063063,0.313513513,0.772309151,0.263157895,0.259868421,4.172053738576653,0.172514619,0.298245614,0.529239766,0.209944751,0.3596,117,38,67,113,35,5,146,17,2,0,513,0.3759,0.5786,"Adam Duvall",10950,594807
"Shed Long Jr.","SEA",,0.074380165,0.322314049,0.618693693,0.162162162,0.264705882,5.297338751214655,0.14084507,0.633802816,0.225352112,0.25,0.2603,22,4,13,17,9,1,34,4,1,0,111,0.2882,0.5783,"Shed Long Jr.",16542,643418
"Daz Cameron","DET",,0.086956521,0.330434782,0.637484169,0.165048543,0.262295081,6.646490312444982,0.215384615,0.384615384,0.4,0.153846153,0.3077,20,4,16,13,10,6,35,5,0,0,103,0.2842,0.5783,"Daz Cameron",18353,663662
"Andrew McCutchen","PHI",,0.141114982,0.229965156,0.778478175,0.221991701,0.242424242,3.903082430817866,0.19327731,0.403361344,0.403361344,0.1875,0.3641,107,27,78,80,81,6,144,24,1,1,482,0.2232,0.5782,"Andrew McCutchen",9847,457705
"Ramón Laureano","OAK",,0.071428571,0.259259259,0.760275566,0.196480939,0.304347826,5.449158333515691,0.221311475,0.430327868,0.348360655,0.164705882,0.3238,84,14,43,39,27,12,88,21,2,5,341,0.3436,0.5781,"Ramon Laureano",17128,657656
"Óscar Mercado","CLE",,0.088235294,0.176470588,0.668736937,0.144859813,0.253012048,5.672706097396926,0.175438596,0.432748538,0.391812865,0.089552238,0.2543,48,6,27,19,21,7,72,11,1,1,214,0.2673,0.5778,"Oscar Mercado",16375,640458
"Jake Bauers","- - -",,0.095238095,0.247619047,0.566404661,0.067375886,0.275,3.6840870632763334,0.252475247,0.331683168,0.415841584,0.047619047,0.2549,59,4,27,19,30,6,115,7,0,1,282,0.2982,0.5771,"Jake Bauers",15194,641343
"Austin Slater","SFG",,0.091503267,0.274509803,0.743619101,0.182481752,0.303370786,5.973641283462492,0.239361702,0.505319148,0.255319148,0.25,0.2895,66,12,39,32,28,15,129,12,1,2,274,0.2731,0.5763,"Austin Slater",16153,596103
