Name,Team,,BB%,K%,OPS,ISO,BABIP,Spd,LD%,GB%,FB%,HR/FB,Hard%,H,HR,R,RBI,BB,SB,G,2B,3B,CS,AB,O-Swing%,O-Contact%,NameASCII,PlayerId,MLBAMID
"Luis Arraez","MIN",,0.082918739,0.071310116,0.795268022,0.104204753,0.330661322,3.030197556609676,0.258382642,0.412228796,0.32938856,0.047904191,0.2781,173,8,88,49,50,4,144,31,1,4,547,0.2855,0.9113,"Luis Arraez",18568,650333
"Steven Kwan","CLE",,0.097178683,0.094043887,0.772286269,0.10124334,0.323353293,6.232108807424335,0.225742574,0.423762376,0.350495049,0.033898305,0.1886,168,6,89,52,62,19,147,25,7,5,563,0.2335,0.8496,"Steven Kwan",24610,680757
"Nick Madrigal","CHC",,0.061403508,0.118421052,0.587606384,0.033492823,0.285714285,3.2122713184158775,0.209944751,0.607734806,0.182320441,0,0.1793,52,0,19,7,14,3,59,7,0,1,209,0.3186,0.8428,"Nick Madrigal",20521,663611
"Ernie Clement","- - -",,0.061452513,0.145251396,0.45152681,0.024539878,0.217391304,2.8584807025827064,0.161764705,0.455882352,0.382352941,0,0.1929,30,0,19,6,11,0,70,4,0,1,163,0.3831,0.8382,"Ernie Clement",20352,676391
"Luis Guillorme","NYM",,0.101492537,0.137313432,0.691418691,0.067340068,0.317269076,2.9217021813478454,0.25609756,0.552845528,0.19105691,0.042553191,0.2174,81,2,33,17,34,1,102,12,1,0,297,0.2507,0.8307,"Luis Guillorme",16451,641645
"Ildemaro Vargas","- - -",,0.036036036,0.103603603,0.69098703,0.129186603,0.278688524,3.897138472938447,0.202185792,0.480874316,0.31693989,0.068965517,0.2128,55,4,19,23,8,3,63,13,1,1,209,0.3184,0.8239,"Ildemaro Vargas",13324,545121
"Isiah Kiner-Falefa","NYY",,0.06591337,0.13559322,0.641516092,0.066252588,0.296116504,5.22801584915706,0.208737864,0.548543689,0.242718446,0.04,0.2005,126,4,66,48,35,22,142,20,0,4,483,0.3312,0.8177,"Isiah Kiner-Falefa",16512,643396
"Jose Iglesias","COL",,0.036402569,0.119914346,0.708033148,0.088838269,0.326370757,2.184729351567327,0.22077922,0.522077922,0.257142857,0.03030303,0.2202,128,3,48,47,17,2,118,30,0,3,439,0.4316,0.8135,"Jose Iglesias",10231,578428
"Michael Brantley","HOU",,0.111913357,0.108303249,0.785203077,0.127572017,0.311004784,2.4629800294114936,0.242990654,0.443925233,0.313084112,0.074626865,0.3209,70,5,28,26,31,1,64,14,1,1,243,0.2561,0.8108,"Michael Brantley",4106,488726
"Mauricio Dubón","- - -",,0.049056603,0.113207547,0.564665597,0.098765432,0.220657276,3.2561738941596916,0.165898617,0.387096774,0.447004608,0.051546391,0.2489,52,5,31,24,13,2,104,9,0,3,243,0.4019,0.8047,"Mauricio Dubon",16530,643289
