Name,Team,,BB%,K%,OPS,ISO,BABIP,Spd,LD%,GB%,FB%,HR/FB,Hard%,H,HR,R,RBI,BB,SB,G,2B,3B,CS,AB,O-Swing%,Contact%,NameASCII,PlayerId,MLBAMID
"Brandon Belt","SFG",,0.124161073,0.27181208,0.675897055,0.137795275,0.277108433,2.8542116953459953,0.226190476,0.273809523,0.5,0.095238095,0.2874,54,8,25,23,37,1,78,9,1,0,254,0.2493,0.713,"Brandon Belt",10264,474832
"Wil Myers","SDP",,0.073426573,0.3006993,0.713152746,0.137931034,0.356725146,2.514026983877717,0.21590909,0.40340909,0.380681818,0.104477611,0.3427,68,7,29,41,21,2,77,15,0,1,261,0.322,0.7023,"Wil Myers",10047,571976
"Ji Man Choi","TBR",,0.138424821,0.293556085,0.728929231,0.154494382,0.32,0.7197802149999999,0.229787234,0.451063829,0.319148936,0.146666666,0.3305,83,11,36,52,58,0,113,22,0,0,356,0.2296,0.699,"Ji Man Choi",5452,596847
"Michael Toglia","COL",,0.075,0.366666666,0.653378378,0.162162162,0.338461538,4.943011185536394,0.23880597,0.373134328,0.388059701,0.076923076,0.3881,24,2,10,12,9,1,31,8,2,1,111,0.3195,0.693,"Michael Toglia",25845,669911
"Christian Bethancourt","- - -",,0.036036036,0.24024024,0.691937561,0.157232704,0.303964757,4.000285632004287,0.194915254,0.45338983,0.351694915,0.13253012,0.3264,80,11,39,34,12,5,101,17,0,1,318,0.4743,0.6798,"Christian Bethancourt",10028,542194
"Nick Pratto","KCR",,0.104395604,0.362637362,0.656794181,0.202531646,0.25,2.6946864025000004,0.138297872,0.329787234,0.531914893,0.14,0.3021,29,7,18,20,19,0,49,9,1,0,158,0.3094,0.676,"Nick Pratto",22117,668472
"Elehuris Montero","COL",,0.043243243,0.324324324,0.702088451,0.198863636,0.318181818,2.9480896962500003,0.215517241,0.370689655,0.413793103,0.125,0.3362,41,6,21,20,8,0,53,15,1,0,176,0.3945,0.6676,"Elehuris Montero",20543,660707
"Bobby Dalbec","BOS",,0.082152974,0.33427762,0.652371291,0.154574132,0.293193717,4.9999106309677686,0.201970443,0.389162561,0.408866995,0.144578313,0.2857,68,12,40,39,29,3,117,9,2,0,317,0.316,0.6662,"Bobby Dalbec",19966,666915
"Franchy Cordero","BOS",,0.101818181,0.334545454,0.697060514,0.17768595,0.3125,5.123198169449218,0.226666666,0.386666666,0.386666666,0.137931034,0.3831,53,8,36,29,28,4,84,17,1,1,242,0.3318,0.6604,"Franchy Cordero",14567,614173
"Luke Voit","- - -",,0.096830985,0.315140845,0.710098591,0.176,0.298360655,1.4668999877077444,0.256880733,0.339449541,0.403669724,0.166666666,0.3761,113,22,55,69,55,1,135,22,0,1,500,0.3436,0.6404,"Luke Voit",14811,572228
"Zack Collins","- - -",,0.083333333,0.379629629,0.551069109,0.164948453,0.207547169,1.08035714,0.263157894,0.263157894,0.47368421,0.148148148,0.2982,15,4,9,11,9,0,36,4,0,0,97,0.2234,0.6396,"Zack Collins",19181,641470
"Keston Hiura","MIL",,0.086466165,0.417293233,0.764507421,0.222222222,0.354545454,5.07169385239234,0.25,0.370967741,0.379032258,0.29787234,0.3871,53,14,34,32,23,5,80,8,1,2,234,0.341,0.6225,"Keston Hiura",20003,669374
"Dérmis Garcia","OAK",,0.064,0.44,0.651931034,0.181034483,0.339285714,1.3697089900000001,0.180327868,0.459016393,0.360655737,0.227272727,0.3443,24,5,13,20,8,0,39,6,0,0,116,0.3323,0.5766,"Dermis Garcia",20926,660650
