"","Name","Team","X","BB.","K.","OPS","ISO","BABIP","Spd","LD.","GB.","FB.","HR.FB","Hard.","H","HR","R","RBI","BB","SB","G","X2B","X3B","CS","AB","O.Swing.","Contact.","NameASCII","PlayerId","MLBAMID","Fantasy","Predicted_Fantasy","Fantasy22"
"48","C.J. Cron","- - -",NA,0.061151079,0.233812949,0.729072555,0.186046512,0.284153005,1.8729296025,0.179487179,0.42051282,0.4,0.153846153,0.3436,64,12,38,37,17,0,71,12,0,0,258,0.3498,0.7323,"C.J. Cron",12546,543068,119.5,103.86563368806,103.86563368806
"49","Christian Encarnacion-Strand","CIN",NA,0.058091286,0.286307053,0.805278306,0.207207207,0.335714285,3.03211283671343,0.267973856,0.346405228,0.385620915,0.220338983,0.3399,60,13,29,37,14,2,63,7,0,0,222,0.3872,0.7241,"Christian Encarnacion-Strand",30011,687952,124,82.1951026946601,82.1951026946601
"50","Ji Man Choi","- - -",NA,0.085470085,0.299145299,0.623931623,0.221153846,0.169230769,1.30357142125,0.197183098,0.408450704,0.394366197,0.214285714,0.4366,17,6,12,13,10,0,39,5,0,0,104,0.2884,0.7208,"Ji Man Choi",5452,596847,27,72.76268028428,72.76268028428
"51","Brandon Drury","LAA",NA,0.047801147,0.26003824,0.802834558,0.235051546,0.307926829,2.88485079856492,0.192090395,0.423728813,0.38418079,0.19117647,0.3559,127,26,61,83,25,0,125,30,3,2,485,0.3826,0.7199,"Brandon Drury",11615,592273,261,221.6298308794,221.6298308794
"52","Garrett Cooper","- - -",NA,0.067833698,0.288840262,0.723588828,0.168246445,0.323636363,1.31994047125,0.239726027,0.434931506,0.325342465,0.178947368,0.3459,106,17,42,61,31,0,123,18,1,0,422,0.417,0.7174,"Garrett Cooper",15279,643265,193.5,211.80179078736,211.80179078736
"53","Joey Votto","CIN",NA,0.111570247,0.256198347,0.746741893,0.230769231,0.212121212,0.8814935025,0.109589041,0.479452054,0.410958904,0.233333333,0.3288,42,14,26,38,27,0,65,6,0,0,208,0.2741,0.7136,"Joey Votto",4314,458015,83.5,77.65791733166,77.65791733166
"54","Brandon Belt","TOR",NA,0.150990099,0.3490099,0.858487397,0.235988201,0.370165745,1.17801339,0.215384615,0.302564102,0.482051282,0.202127659,0.37,86,19,53,43,61,0,103,23,0,0,339,0.2185,0.7108,"Brandon Belt",10264,474832,199,177.14328484818,177.14328484818
"55","Trey Mancini","CHC",NA,0.079847908,0.296577946,0.635020786,0.102127659,0.326923076,1.86160714,0.1875,0.475,0.3375,0.074074074,0.3063,55,4,31,28,21,0,79,12,0,0,235,0.3376,0.7104,"Trey Mancini",15149,641820,82,95.74649485148,95.74649485148
"56","Jake Bauers","NYY",NA,0.099264705,0.349264705,0.692634904,0.210743802,0.268115942,2.74556144770957,0.193333333,0.38,0.426666666,0.1875,0.36,49,12,28,30,27,3,84,15,0,2,242,0.2745,0.7009,"Jake Bauers",15194,641343,89.5,127.827592,127.827592
"57","Bryce Harper","PHI",NA,0.146520146,0.217948717,0.900004809,0.205689278,0.352024922,4.33198342174419,0.24852071,0.446745562,0.304733727,0.203883495,0.4064,134,21,84,72,80,11,126,29,1,3,457,0.3663,0.6876,"Bryce Harper",11579,547180,312.5,234.6300311449,234.6300311449
"58","Nick Pratto","KCR",NA,0.084057971,0.4,0.660187552,0.120915033,0.387878787,1.95931043403617,0.26744186,0.366279069,0.366279069,0.111111111,0.343,71,7,33,35,29,1,95,16,0,1,306,0.3008,0.6683,"Nick Pratto",22117,668472,110.5,131.38784177722,131.38784177722
"59","Wil Myers","CIN",NA,0.085106382,0.340425531,0.540607423,0.094488189,0.272727272,2.93126943741789,0.175,0.5,0.325,0.115384615,0.2716,24,3,11,12,12,2,37,3,0,1,127,0.3257,0.6639,"Wil Myers",10047,571976,26.5,-27.7512752327,-27.7512752327
"60","Ryan Noda","OAK",NA,0.155555555,0.343434343,0.770040303,0.177339901,0.346846846,3.45705336490569,0.229787234,0.374468085,0.39574468,0.17204301,0.3908,93,16,63,54,77,3,128,22,1,1,406,0.2233,0.6491,"Ryan Noda",23312,676116,187.5,217.4090699102,217.4090699102
"61","Gabriel Arias","CLE",NA,0.08115942,0.327536231,0.62774327,0.142857143,0.29015544,2.58992033505905,0.180904522,0.522613065,0.296482412,0.169491525,0.3547,66,10,36,26,28,3,122,15,0,4,315,0.3789,0.6451,"Gabriel Arias",22563,672356,94.5,186.6450644555,186.6450644555
"62","Michael Toglia","COL",NA,0.065789473,0.328947368,0.507372153,0.120567376,0.218390804,3.7553794736398,0.175824175,0.395604395,0.428571428,0.102564102,0.3736,23,4,18,9,10,1,45,5,0,1,141,0.3343,0.6367,"Michael Toglia",25845,669911,19.5,25.39576979204,25.39576979204
"63","Luke Raley","TBR",NA,0.068965517,0.315270935,0.823529411,0.240896359,0.330188679,6.90741412060781,0.132743362,0.420353982,0.446902654,0.188118811,0.3621,89,19,56,49,28,14,118,23,3,3,357,0.3528,0.6361,"Luke Raley",19354,670042,196.5,178.08877143122,178.08877143122
"64","Elehuris Montero","COL",NA,0.048859934,0.361563517,0.715958618,0.183098592,0.351515151,3.50073384625,0.176136363,0.448863636,0.375,0.166666666,0.4034,69,11,40,39,15,0,85,15,2,0,284,0.4552,0.6278,"Elehuris Montero",20543,660707,124.5,122.26016866332,122.26016866332
"65","Joey Gallo","MIN",NA,0.144578313,0.427710843,0.740921131,0.262411348,0.243697478,2.96756001962925,0.122302158,0.294964028,0.582733812,0.259259259,0.3643,50,21,39,40,48,1,111,9,1,1,282,0.2907,0.5887,"Joey Gallo",14128,608336,106,146.66853848018,146.66853848018
"66","Jared Walsh","LAA",NA,0.094827586,0.387931034,0.494363394,0.153846153,0.163636363,1.39285714,0.157894736,0.333333333,0.508771929,0.137931034,0.2881,13,4,10,11,11,0,39,4,0,0,104,0.2985,0.564,"Jared Walsh",18607,665120,8.5,-53.06794920932,-53.06794920932
